Heurystyka;Op.selekcji;Op.selekcji;Ocena;
;płciowej;naturalnej;;
Alg. ewolucyjny;opNatSel(RS);stdGenSel($\bot$, R, R);-1068;10,9727
GGA;opNatSel(RS);stdGenSel($\top$, R, R);-1020;115,6045
SexualGA;opNatSel(R);stdGenSel($\bot$, RS, RS);-1102;66,7383
;;stdGenSel($\bot$, RS, TS(2));-909,2;169,7308
DSEA;opNatSel(RS);stdGenSel($\bot$, RS, RS);-1152,8;14,8647
;;stdGenSel($\bot$, RS, R);-1143,2;12,3839
;;stdGenSel($\top$, RS, RS);-1138,6;20,5777
;;stdGenSel($\top$, RS, R);-1136,2;20,4783
;;harem(5, 0,25, RS, RS, R);-1144,2;20,4294
;;harem(3, 0,0, RS, TS(2), R);-1142;19,308
