1;0; random; random;-1012,8;131,2774
1;0; random; roulette;-1084,2;18,6269
1;0; random; ts2;-1098,8;25,2063
1;0; random; ts3;-1051,8;140,919
1;0; roulette; random;-1110,2;32,7744
1;0; roulette; roulette;-1072,6;15,9198
1;0; roulette; ts2;-1109;19,718
1;0; roulette; ts3;-1098,2;52,8371
1;0; ts2; random;-867,2;129,144
1;0; ts2; roulette;-988,4;124,0461
1;0; ts2; ts2;-986,2;125,2173
1;0; ts2; ts3;-999,2;129,529
1;0; ts3; random;-889,8;185,3423
1;0; ts3; roulette;-994;124,9928
1;0; ts3; ts2;-997;124,5664
1;0; ts3; ts3;-1025,4;128,4361
1;0,1; random; random;-1062,2;22,9556
1;0,1; random; roulette;-1075,2;20,721
1;0,1; random; ts2;-1078,8;53,7044
1;0,1; random; ts3;-1010,6;133,3696
1;0,1; roulette; random;-1102,6;29,5675
1;0,1; roulette; roulette;-1112;23,9833
1;0,1; roulette; ts2;-1117,6;41,6346
1;0,1; roulette; ts3;-1072,6;45,3943
1;0,1; ts2; random;-1063,8;58,352
1;0,1; ts2; roulette;-1070,2;42,2535
1;0,1; ts2; ts2;-1001;115,2406
1;0,1; ts2; ts3;-935,4;178,3172
1;0,1; ts3; random;-990;125,44
1;0,1; ts3; roulette;-920,2;141,5732
1;0,1; ts3; ts2;-1002,4;139,6919
1;0,1; ts3; ts3;-909,8;129,178
1;0,25; random; random;-1112,2;21,386
1;0,25; random; roulette;-1104,8;27,272
1;0,25; random; ts2;-1052;138,4124
1;0,25; random; ts3;-1038,8;30,1025
1;0,25; roulette; random;-1105;22,145
1;0,25; roulette; roulette;-1130,4;16,28
1;0,25; roulette; ts2;-1097;18,4716
1;0,25; roulette; ts3;-1114;25,8457
1;0,25; ts2; random;-1054,6;37,702
1;0,25; ts2; roulette;-1085,4;20,2445
1;0,25; ts2; ts2;-993,4;137,6541
1;0,25; ts2; ts3;-994,4;128,207
1;0,25; ts3; random;-1044,4;35,8251
1;0,25; ts3; roulette;-1078,6;35,3757
1;0,25; ts3; ts2;-914,6;120,8679
1;0,25; ts3; ts3;-801,8;121,1799
3;0; random; random;-1006,4;120,2973
3;0; random; roulette;-1100,2;24,5063
3;0; random; ts2;-1109,8;18,0488
3;0; random; ts3;-1068,8;30,492
3;0; roulette; random;-1120,4;20,1851
3;0; roulette; roulette;-1123,8;6,6151
3;0; roulette; ts2;-1142;19,308
3;0; roulette; ts3;-1107,8;12,5762
3;0; ts2; random;-945,6;157,4847
3;0; ts2; roulette;-943,2;140,0077
3;0; ts2; ts2;-923,6;149,8794
3;0; ts2; ts3;-1005,8;125,0238
3;0; ts3; random;-931,6;158,7509
3;0; ts3; roulette;-923;152,6145
3;0; ts3; ts2;-863;182,519
3;0; ts3; ts3;-820,4;115,2486
3;0,1; random; random;-1094,8;25,9492
3;0,1; random; roulette;-1096;57,6299
3;0,1; random; ts2;-1097,8;5,98
3;0,1; random; ts3;-1065,2;52,9354
3;0,1; roulette; random;-1104;19,8192
3;0,1; roulette; roulette;-1126,6;8,0647
3;0,1; roulette; ts2;-1127,8;26,4983
3;0,1; roulette; ts3;-1110,2;31,4859
3;0,1; ts2; random;-1060,6;27,5289
3;0,1; ts2; roulette;-1031;130,1845
3;0,1; ts2; ts2;-1015,4;124,2926
3;0,1; ts2; ts3;-1015,8;113,7249
3;0,1; ts3; random;-1016,4;122,7218
3;0,1; ts3; roulette;-941,4;152,9844
3;0,1; ts3; ts2;-919,6;134,2723
3;0,1; ts3; ts3;-869;177,8033
3;0,25; random; random;-1082;28,5937
3;0,25; random; roulette;-1098,4;12,126
3;0,25; random; ts2;-1078,4;29,3843
3;0,25; random; ts3;-1077;27,4809
3;0,25; roulette; random;-1105,8;16,8095
3;0,25; roulette; roulette;-1125,4;29,6554
3;0,25; roulette; ts2;-1119,8;5,5642
3;0,25; roulette; ts3;-1125,4;19,966
3;0,25; ts2; random;-945,6;161,4764
3;0,25; ts2; roulette;-1114,6;14,4859
3;0,25; ts2; ts2;-1015,6;143,9592
3;0,25; ts2; ts3;-944,4;154,4624
3;0,25; ts3; random;-1002;139,9328
3;0,25; ts3; roulette;-1092;15,582
3;0,25; ts3; ts2;-933,8;165,6676
3;0,25; ts3; ts3;-959;167,7319
5;0; random; random;-1105,4;27,9614
5;0; random; roulette;-1112,2;19,9439
5;0; random; ts2;-1074,8;26,5435
5;0; random; ts3;-1113,4;36,4395
5;0; roulette; random;-1128,2;32,6827
5;0; roulette; roulette;-1116,6;24,1959
5;0; roulette; ts2;-1141,8;22,3195
5;0; roulette; ts3;-1134;27,4591
5;0; ts2; random;-1032,4;144,6024
5;0; ts2; roulette;-1117,8;28,4211
5;0; ts2; ts2;-1027,2;25,3724
5;0; ts2; ts3;-1093,4;36,6093
5;0; ts3; random;-1045;23,1948
5;0; ts3; roulette;-1045,2;51,3241
5;0; ts3; ts2;-923,8;141,9358
5;0; ts3; ts3;-889;156,863
5;0,1; random; random;-1112,4;22,8438
5;0,1; random; roulette;-1112,8;43,162
5;0,1; random; ts2;-1104;38,1733
5;0,1; random; ts3;-1080,2;40,563
5;0,1; roulette; random;-1128;23,7571
5;0,1; roulette; roulette;-1121,6;20,3627
5;0,1; roulette; ts2;-1111,2;18,5731
5;0,1; roulette; ts3;-1091;41,9285
5;0,1; ts2; random;-1088,8;54,2011
5;0,1; ts2; roulette;-1001,4;119,2486
5;0,1; ts2; ts2;-1014,2;124,6891
5;0,1; ts2; ts3;-1001,8;123,5919
5;0,1; ts3; random;-991,8;135,3328
5;0,1; ts3; roulette;-1052,2;14,3304
5;0,1; ts3; ts2;-961,2;155,8979
5;0,1; ts3; ts3;-940,6;158,9548
5;0,25; random; random;-1106,6;14,4582
5;0,25; random; roulette;-1101,2;16,9635
5;0,25; random; ts2;-1072,8;19,9339
5;0,25; random; ts3;-1099;30,7181
5;0,25; roulette; random;-1129;11,349
5;0,25; roulette; roulette;-1144,2;20,4294
5;0,25; roulette; ts2;-1113,8;17,0575
5;0,25; roulette; ts3;-1102,8;31,0123
5;0,25; ts2; random;-1080,6;12,753
5;0,25; ts2; roulette;-1105;17,7426
5;0,25; ts2; ts2;-967,6;162,3645
5;0,25; ts2; ts3;-932;156,8528
5;0,25; ts3; random;-1074,6;34,4244
5;0,25; ts3; roulette;-1063,4;30,9296
5;0,25; ts3; ts2;-893,4;154,3847
5;0,25; ts3; ts3;-866,4;135,5649
