5;0,1; roulette; random;48915,0643;799,6703
5;0,1; roulette; roulette;49180,7887;4249,2504
3;0,25; roulette; roulette;49744,9081;2768,5553
3;0; roulette; random;49984,0394;3413,586
5;0,1; roulette; ts3;49985,4366;4012,8489
3;0,25; roulette; random;50011,9993;3104,8017
3;0; roulette; roulette;50296,3335;4102,9637
5;0; roulette; random;50317,9438;3977,9757
3;0,1; roulette; ts3;50425,7944;2674,6857
5;0,25; roulette; roulette;50581,0518;3533,9353
5;0; roulette; ts3;50788,1319;1542,8235
5;0; roulette; ts2;51156,4782;3617,3294
