(roulette, roulette, true);41555,6377;3146,2442
(roulette, random, true);46760,4675;4193,2035
(roulette, ts2, true);58959,3026;2904,8175
(roulette, ts3, true);60034,4256;2037,1204
(ts2, roulette, true);71987,6709;2285,8795
(ts2, ts3, true);74517,5027;1587,0526
(ts3, random, true);74713,9409;3220,7059
(ts2, random, true);76055,7806;2368,6103
(ts2, ts2, true);76926,4793;5098,4827
(ts3, roulette, true);77571,6168;2876,1054
(ts3, ts2, true);78467,4306;1643,5278
(ts3, ts3, true);78500,7347;2992,6209
